id	name	tag
0	NONE	bln
1	Golf Club	unk
2	Imitation Katana	unk
3	Iai Katana	unk
4	Bastard Sword	unk
5	Two-Handed Sword	unk
6	Dark Basher	unk
7	Type-98 Gunto	unk
8	Tsubaki-maru	unk
9	Great Sword	unk
10	Deathbringer	unk
11	Caladbolg	unk
12	0x00C	inv
13	Long Sword	unk
14	Soul Crusher	unk
15	Kishido Blade	unk
16	Zweihander	unk
17	Gothic Sword	unk
18	Zanbatou	unk
19	Edge	unk
20	Mikazuki Munechika	unk
21	Midare Hamon	unk
22	Kakitsubata	unk
23	Tobi-botaru	unk
24	Kusanagi no Tsurugi	unk
25	Usumidori	unk
26	Masakado's Katana	unk
27	Kopis	unk
28	Onusa Sword	unk
29	Harisen	unk
30	Heavy Longsword	unk
31	Paralysis Blade	unk
32	Venom Sword	unk
33	Setsugetsuka	unk
34	0x022	inv
35	0x023	inv
36	0x024	inv
37	0x025	inv
38	0x026	inv
39	0x027	inv
40	0x028	inv
41	0x029	inv
42	0x02A	inv
43	0x02B	inv
44	0x02C	inv
45	0x02D	inv
46	0x02E	inv
47	0x02F	inv
48	0x030	inv
49	0x031	inv
50	0x032	inv
51	0x033	inv
52	0x034	inv
53	0x035	inv
54	0x036	inv
55	0x037	inv
56	0x038	inv
57	0x039	inv
58	0x03A	inv
59	0x03B	inv
60	Fire Sword (dummy)	unk
61	Ice Sword (dummy)	unk
62	Elec Sword (dummy)	unk
63	Wind Sword (dummy)	unk
64	Monkey Wrench	unk
65	Sylph Blade	unk
66	Blitz Kunai	unk
67	Kaiken	unk
68	Yashima	unk
69	Fearful Kunai	unk
70	Jade Dagger	unk
71	Basho	unk
72	Militia Dagger	unk
73	Rappa	unk
74	Kashin Koji	unk
75	Hunting Nata	unk
76	Machete	unk
77	Karasu-maru	unk
78	En-Giri	unk
79	Hoori	unk
80	Raven Claw	unk
81	Pesh Kabz	unk
82	Shadowrend	unk
83	Athame	unk
84	Grand Slasher	unk
85	Pixie Knife	unk
86	Nandaka	unk
87	Vajra	unk
88	Jitte	unk
89	Sleep Dagger	unk
90	Heavy Knife	unk
91	Poison Knife	unk
92	Paralysis Knife	unk
93	0x05D	inv
94	0x05E	inv
95	0x05F	inv
96	0x060	inv
97	0x061	inv
98	0x062	inv
99	0x063	inv
100	0x064	inv
101	0x065	inv
102	0x066	inv
103	0x067	inv
104	0x068	inv
105	0x069	inv
106	0x06A	inv
107	0x06B	inv
108	0x06C	inv
109	0x06D	inv
110	0x06E	inv
111	0x06F	inv
112	0x070	inv
113	0x071	inv
114	0x072	inv
115	0x073	inv
116	0x074	inv
117	0x075	inv
118	0x076	inv
119	0x077	inv
120	0x078	inv
121	0x079	inv
122	0x07A	inv
123	0x07B	inv
124	0x07C	inv
125	0x07D	inv
126	0x07E	inv
127	0x07F	inv
128	Leather Shoes	unk
129	Spring Boots	unk
130	Nanban Gusoku	unk
131	Heavy Heels	unk
132	Furinkazan	unk
133	Sleipnir	unk
134	Mjolnir Boots	unk
135	Demon Boots	unk
136	Gigant Fall	unk
137	Judgement Boots	unk
138	Platform Sneaks	unk
139	Shield Boots	unk
140	Punk Shoes	unk
141	Bishamonten	unk
142	Bucking Broncos	unk
143	Four Beasts	unk
144	Vidar's Boots	unk
145	Kehaya	unk
146	Peerless Heels	unk
147	Stella Greaves	unk
148	0x094	inv
149	Genbu Greaves	unk
150	Reigan Greaves	unk
151	Electro Shoes	unk
152	Heavy Shoes	unk
153	Panic Boots	unk
154	Cobra Boots	unk
155	0x09B	inv
156	0x09C	inv
157	0x09D	inv
158	0x09E	inv
159	0x09F	inv
160	0x0A0	inv
161	0x0A1	inv
162	0x0A2	inv
163	0x0A3	inv
164	0x0A4	inv
165	0x0A5	inv
166	0x0A6	inv
167	0x0A7	inv
168	0x0A8	inv
